Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.324016188638054,-0.29268749854922,0.0551391894556958,0,0,0,0.0380967367917282,4.4369451739139E-05,-1.29241907142882E-06,9.27859775427472E-07,2.95335995758148E-05,2.00567888139299E-05,4.54076075878791E-05,0,0,0,0,0,0,package://部件1.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://部件1.SLDASM/meshes/base_link.STL,,001_2dof_head - G1_head_mount.stl-1;舵机建模MG90S-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,0.0237905017278396,-0.0209478534637865,-0.0345077237632563,0,0,0,0.0254874630685235,9.29165937948299E-06,1.06500899082607E-06,3.46808410209245E-06,1.2414708323279E-05,-9.93075398035609E-07,5.71020781010046E-06,0,0,0,0,0,0,package://部件1.SLDASM/meshes/Empty_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://部件1.SLDASM/meshes/Empty_Link1.STL,,002_2dof_head - G1_head_mount.stl-1;URT-2-1;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-4;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-1;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-2;舵机建模MG90S_舵脚-2;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-3;舵机建模MG90S-2;螺钉 GB_T 818 M3 x 12-1;螺母 GB_T 6174 M3-1,坐标系4,基准轴1,joint1,continuous,0.311943591251181,-0.100633750400905,-0.334498575224349,3.13514970526813,0.966999687757827,-1.57862311985778,base_link,0,0,-1,,,,,,,,,,,,
Empty_Link2,-0.0330059403313637,-0.000974210089246225,-0.00874934735000482,0,0,0,0.0477668295118638,3.21292611931555E-05,-2.8112424014203E-08,-1.56259953290781E-07,3.28622306412358E-05,1.05351217752151E-07,5.33814835133335E-06,0,0,0,0,0,0,package://部件1.SLDASM/meshes/Empty_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://部件1.SLDASM/meshes/Empty_Link2.STL,,002_2dof_head - G1_head_mount.stl_1-1;0-1;螺钉 GB_T 818 M6 x 8-1;柱塞4.0_1-1;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-5;舵机建模MG90S_舵脚-1;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-6;螺钉GB 845-85 - ST2.2 x 4.5 - C - H-7,坐标系5,基准轴2,joint2,continuous,0.0302544414057004,-0.00875648364365722,-0.0706864263465496,-1.57474578623967,-0.580496841285354,-3.14159265358977,Empty_Link1,0,0.00394944917735483,-0.999992200895185,,,,,,,,,,,,
